정류소명,경도,위도
종로2가사거리,126.9877523,37.56980554
창경궁.서울대학교병원,126.9965206,37.57943293
명륜3가.성대입구,126.9982508,37.58258001
종로2가.삼일교,126.9876131,37.56857927
혜화동로터리.여운형활동터,127.001744,37.586243
서대문역사거리,126.966893,37.566137
서울역사박물관.경희궁앞,126.97038,37.569135
서울역사박물관.경희궁앞,126.970759,37.56951198
광화문,126.9763534,37.57014168
광화문,126.9778803,37.57023966
종로1가,126.9810661,37.57014825
종로1가,126.9816283,37.57027101
종로2가,126.9849903,37.57017238
종로2가,126.9865354,37.57023789
종로3가.탑골공원,126.9893256,37.57020889
종로3가.탑골공원,126.9899878,37.57036054
종로4가.종묘,126.9947219,37.570507
종로4가.종묘,126.9953957,37.570635
종로5가.광장시장,126.9990605,37.570786
종로5가.광장시장,126.9996038,37.57093017
종로6가.동대문종합시장,127.0044628,37.57101117
종로6가.동대문종합시장,127.0057137,37.57112723
동대문역.흥인지문,127.0138159,37.57244754
동대문역.흥인지문,127.0124518,37.57210531
동묘앞,127.0186103,37.57383216
동묘앞,127.0195528,37.57424646
경기상고,126.9693635,37.58755022
신교동,126.9702627,37.58329552
경기상고,126.9697701,37.58719079
경복고교,126.9708802,37.58516003
청운중학교,126.9726741,37.58781058
자하문고개.윤동주문학관,126.9671262,37.59218662
자하문고개.윤동주문학관,126.9671907,37.59233532
청운중학교,126.9722631,37.58842196
경복고교,126.9714039,37.5850633
통인시장종로구보건소,126.97105,37.5803257
통인시장종로구보건소,126.9713851,37.58051321
효자동,126.970621,37.58309104
사직단.어린이도서관,126.9679907,37.57513553
경복궁역1번출구,126.9714158,37.57616149
경복궁역2번출구,126.9721994,37.57704014
경복궁역3번출구,126.9722829,37.57767139
경복궁,126.9787471,37.57557679
KT광화문지사,126.9774163,37.57232093
국립고궁박물관,126.9739818,37.57893039
광화문역6번출구,126.9764072,37.57004483
서울역사박물관.강북삼성병원,126.971248,37.570023
광화문.금호아시아나본관앞,126.9728386,37.57033689
광화문역7번출구,126.975837,37.570365
세종문화회관,126.9769976,37.57364893
서울경찰청.경복궁역,126.9714843,37.57574466
사직단,126.968189,37.57485535
광화문.광화문빌딩,126.9768637,37.56950355
덕성여중고,126.9819722,37.57576939
