시군구,단지명,전용면적(㎡),계약년월,계약일,거래금액(만원),층,매수자,매도자,건축년도,도로명,Latitude,Longitude
서울특별시 강서구 화곡동,계명아파트나동,74.79,202410,31,"39,800",3,개인,개인,2001,강서로 43-22,37.5308298,126.8462923
서울특별시 동작구 상도동,중앙하이츠빌,123.6025,202410,31,"110,000",1,개인,개인,2003,상도로 320,37.499075,126.949792
서울특별시 강서구 가양동,한강타운,84.99,202410,30,"94,000",2,개인,개인,1993,허준로 23,37.5713845,126.8449875
서울특별시 영등포구 영등포동1가,여의도이튼브라운,43.37,202410,30,"56,500",4,개인,개인,2022,경인로114길 6,37.5177364,126.9143049
서울특별시 영등포구 문래동2가,남성,72.9,202410,30,"65,000",11,개인,개인,1983,경인로77길 21,37.5125877,126.8916007
서울특별시 양천구 신정동,목동현대3차,84.77,202410,30,"105,000",16,개인,개인,1997,목동동로12길 60,37.5203883,126.8772356
서울특별시 노원구 상계동,상계1차중앙하이츠,59.82,202410,30,"54,800",17,개인,개인,1997,노원로28길 15,37.6537412,127.0689054
서울특별시 강남구 일원동,래미안 개포 루체하임,84.99,202410,30,"274,500",4,개인,개인,2018,개포로110길 50,37.4893051,127.0798699
서울특별시 용산구 한강로3가,시티하우스,19.89,202410,30,"24,400",3,개인,개인,2011,한강대로14길 37,37.5243967,126.9662815
서울특별시 성동구 금호동2가,래미안하이리버,59.99,202410,30,"139,000",10,개인,개인,2012,금호로 107,37.551292,127.0245415
서울특별시 강동구 명일동,현대(고덕),131.83,202410,30,"165,000",4,개인,개인,1986,동남로71길 41,37.5505035,127.1535263
서울특별시 강동구 길동,청광플러스원큐브2차,14.495,202410,29,"10,000",13,개인,개인,2013,천호대로175길 10,37.5351292,127.1369446
서울특별시 노원구 상계동,상계2차중앙하이츠,59.82,202410,29,"54,500",4,개인,개인,1998,노원로 428,37.6549617,127.0683084
서울특별시 성북구 정릉동,대우,43.11,202410,29,"33,000",4,개인,개인,2001,보국문로30길 15,37.6180203,127.0034245
서울특별시 성북구 정릉동,정릉풍림아이원,114.75,202410,29,"65,000",9,개인,개인,2005,솔샘로25길 28,37.6185856,127.0073052
서울특별시 구로구 구로동,하나세인스톤1차,21.7256,202410,29,"14,550",16,법인,개인,2011,구로중앙로28다길 16,37.5012537,126.8889839
서울특별시 양천구 신정동,목동신시가지12,71.64,202410,29,"155,000",7,개인,개인,1988,목동동로 50,37.5130364,126.8611326
서울특별시 은평구 진관동,우물골2단지두산위브(209~222동)BL2-8,84.51,202410,29,"81,000",2,개인,개인,2009,진관2로 111-7,37.636298,126.9315055
서울특별시 동대문구 장안동,경남하이빌,73.78,202410,29,"51,000",3,개인,개인,2008,사가정로23길 40,37.5804372,127.0702131
서울특별시 성동구 상왕십리동,센트럴큐브,24.76,202410,29,"30,000",16,개인,개인,2019,난계로24길 19,37.5706573,127.0255206
